word,info1,info2,info3,info4,info5
AltaForge,設立年 2023年,IoTゲートウェイソフト開発を主力とするベンチャー企業,創業者 佐藤太郎（元大手通信メーカーの技術者）,本社の場所 東京都渋谷区,2024年度 1.2億円
Skyget Inc.,設立年 2021年,業務効率化ツールを提供するSaaSスタートアップ,創業者 加藤真由美（海外投資銀行出身）,本社の場所 大阪府大阪市,"2024年度 8,000万円"
NovaByte,設立年 2024年,クラウド基盤の構築とAI推論サービスを展開,創業者 鈴木彰（大学院で機械学習を研究）,本社の場所 神奈川県横浜市,2024年度 2億円
Aquiran Solutions,設立年 2022年,ARデバイスのプロトタイプ開発と販売,創業者 島田優（エレクトロニクスメーカーの研究員）,本社の場所 福岡県福岡市,"2024年度 5,000万円"
TruValco,設立年 2023年,バッテリー技術と計測機器のOEM事業を手がける,創業者 高橋健太（材料工学博士）,本社の場所 神奈川県川崎市,2024年度 1億円
Miraxis Tech,設立年 2020年,クラウド型画像解析エンジンの提供を主力とする,創業者 森田隆（広告代理店出身）,本社の場所 東京都千代田区,2024年度 1.5億円
OmniWave,設立年 2023年,IoTセンサーの製造およびデータ分析サービスを展開,創業者 田中梨香（大学でロボット工学を専攻）,本社の場所 京都府京都市,"2024年度 9,000万円"
Hypercube Robotics,設立年 2022年,小型産業ロボットの設計と制御ソフトを開発,創業者 井上幸一（元自動車メーカー技術者）,本社の場所 愛知県名古屋市,2024年度 3億円
ClarisPhoton,設立年 2021年,光学センサーとリモート計測ソリューションを提供,創業者 山本英司（光学研究所出身）,本社の場所 東京都品川区,2024年度 1.8億円
SakuraEdge,設立年 2023年,スマート農業向けアプリとドローン制御システムを展開,創業者 小林奈緒（農学部卒業後、IT企業で経験）,本社の場所 北海道札幌市,"2024年度 7,000万円"
NeuraCore,設立年 2022年,医療向けAI診断ソフトの開発・販売を行う,創業者 佐々木純（医師免許取得後に起業）,本社の場所 東京都文京区,2024年度 2.5億円
FuturiSense,設立年 2021年,音声認識と自動翻訳技術に強みを持つスタートアップ,創業者 岡田隆司（音声言語処理の博士号取得）,本社の場所 京都府宇治市,"2024年度 6,000万円"
AeroMind,設立年 2020年,ドローン開発と災害支援システムの提供を行う,創業者 藤井剛（航空宇宙工学専攻）,本社の場所 宮城県仙台市,2024年度 1.1億円
DigitalBeam,設立年 2023年,リモートワーク用の通信技術を開発,創業者 岩田紗織（元通信キャリアの研究員）,本社の場所 大阪府吹田市,"2024年度 9,500万円"
Greenight Systems,設立年 2022年,省エネ照明システムの開発・設置サービスを展開,創業者 平野翔太（環境工学の専門家）,本社の場所 埼玉県さいたま市,2024年度 1.3億円
Quanturn Labs,設立年 2021年,量子コンピューティングのソフトウェア開発を手がける,創業者 村上剛（海外の量子研究所で実績あり）,本社の場所 千葉県千葉市,"2024年度 8,500万円"
MoonGate Innovations,設立年 2023年,宇宙関連スタートアップ向けビジネスサポート,創業者 小笠原優希（宇宙ベンチャーの元CFO）,本社の場所 東京都港区,"2024年度 5,500万円"
DigiGene,設立年 2020年,バイオインフォマティクス解析サービスを提供,創業者 山田里奈（医学部卒業後、遺伝子解析研究に従事）,本社の場所 石川県金沢市,"2024年度 6,500万円"
Sinclive,設立年 2022年,ライブ配信プラットフォームと配信ツールの開発,創業者 渡辺恵（エンタメ業界でプロデューサー経験）,本社の場所 兵庫県神戸市,"2024年度 4,000万円"
VoxelVista,設立年 2021年,3DモデリングとVRコンテンツ制作を手がける,創業者 内田篤（ゲーム会社でCGディレクター経験）,本社の場所 東京都中野区,2024年度 1.6億円
