word,info1,info2,info3,info4,info5
りん,デビュー年 2021年,プロフィール 独特なハイトーンボイスが魅力のソロアイドル,所属事務所 フラワーミュージック,代表曲 ウェイクアップドリーム,ファンクラブ名 RIN's Garden
かすみ,デビュー年 2020年,プロフィール ダンスとファッションセンスに定評のあるモデル系アイドル,所属事務所 スカイライトプロ,代表曲 Shooting Star,ファンクラブ名 Kasumi Galaxy
みらの,デビュー年 2022年,プロフィール SNSで話題になったキュート系アイドル,所属事務所 トレジャーベース,代表曲 Pink Bubble,ファンクラブ名 MiraFams
シアン,デビュー年 2019年,プロフィール アニメソングカバーで人気を博した元気系アイドル,所属事務所 クリアボイスエンターテインメント,代表曲 フューチャーライト,ファンクラブ名 Cyan Planet
黒瀬七海,デビュー年 2023年,プロフィール バラードを中心に歌い上げる歌姫タイプのソロシンガー,所属事務所 ソフトウィンドプロダクション,代表曲 True Tears,ファンクラブ名 Nana's Note
柚葉,デビュー年 2021年,プロフィール レトロポップスタイルを得意とするアイドル兼クリエイター,所属事務所 レインボーシード,代表曲 カラフルメモリー,ファンクラブ名 Yuzuland
ももか,デビュー年 2020年,プロフィール 地方FMから人気に火がついたシンデレラアイドル,所属事務所 ブリリアントウェイ,代表曲 スマイルロード,ファンクラブ名 Momo☆Ch
相川絵梨,デビュー年 2022年,プロフィール クラシックバイオリン出身の異色アイドル,所属事務所 サウンドクオーツ,代表曲 Eternal Melody,ファンクラブ名 Eri's Harmony
雪村空,デビュー年 2018年,プロフィール 爽やかなルックスとストリートダンスが魅力,所属事務所 ギャラクシークリエイト,代表曲 Sky Step,ファンクラブ名 Soraworld
日向理子,デビュー年 2019年,プロフィール 明るいキャラクターでバラエティ番組にも多数出演,所属事務所 スマイルユニオン,代表曲 ヒナタの奇跡,ファンクラブ名 Riko's Field
高城唯,デビュー年 2023年,プロフィール 声優経験を活かした表現力が売りのアイドル,所属事務所 エメラルドプロダクション,代表曲 Whisper of Love,ファンクラブ名 Yui's Circle
片瀬実里,デビュー年 2021年,プロフィール ピアノ弾き語りが得意で作詞作曲もこなすシンガー,所属事務所 アクアサウンド,代表曲 Endless Echo,ファンクラブ名 Minori's Keys
小田切遥,デビュー年 2019年,プロフィール CM女王としても活躍するマルチアイドル,所属事務所 プライムスターエージェンシー,代表曲 フォーチュンガール,ファンクラブ名 Haruka's Wish
橘怜奈,デビュー年 2020年,プロフィール 王道アイドル路線をまっすぐ進むセンタータイプ,所属事務所 ブライトサイドミュージック,代表曲 Shining Hearts,ファンクラブ名 Reina's Spark
天音朱里,デビュー年 2022年,プロフィール ミステリアスな世界観を持つアーティスト系アイドル,所属事務所 ネオライズプロ,代表曲 月夜のセレナーデ,ファンクラブ名 Akarism
木下莉央,デビュー年 2023年,プロフィール モデル出身で長身を活かした華やかなパフォーマンスが人気,所属事務所 ウィンドウィッシュ,代表曲 Colorful Way,ファンクラブ名 Rio no Hana
安田美久,デビュー年 2021年,プロフィール バラエティ力が高くお笑い番組にも多数出演,所属事務所 ローズグリッド,代表曲 Candy Pop Days,ファンクラブ名 Miku★Park
西崎綾乃,デビュー年 2020年,プロフィール ハスキーボイスが特徴のクール系アイドル,所属事務所 ソル・アルテエンターテインメント,代表曲 Silent Blaze,ファンクラブ名 Aya's Flame
篠崎恵理香,デビュー年 2019年,プロフィール 留学経験を活かし英語曲もこなすグローバルアイドル,所属事務所 ハーモニーライト,代表曲 Blooming Star,ファンクラブ名 Erika Bloom
成瀬真理,デビュー年 2023年,プロフィール 数々のオーディションを経てソロデビューを勝ち取った努力家,所属事務所 ゴールデンボイス,代表曲 Precious Moment,ファンクラブ名 Mari's Gold
