word,info1,info2,info3,info4,info5
トワイライトオーバードライブ,公開年 2019年,あらすじ 近未来都市で繰り広げられるサイバーアクション,監督 小川和也,制作会社 スパークスタジオ,累計興行収入 12億円
ラストホエール,公開年 2021年,あらすじ 絶滅寸前のクジラを守るために奮闘する研究者たちの物語,監督 佐々木篤史,制作会社 ブルームーンピクチャーズ,累計興行収入 8.5億円
ムーンライトスパイラル,公開年 2020年,あらすじ 月面コロニーでの悲劇と希望を描いたSFドラマ,監督 山下苑子,制作会社 フューチャーリール,累計興行収入 10億円
インフィニティハート,公開年 2023年,あらすじ 異世界に迷い込んだ主人公が無限の愛を探すファンタジー,監督 森田渉,制作会社 ブリリアントフィルム,累計興行収入 15億円
運命の交差点,公開年 2022年,あらすじ 多世界が交わる交差点で繰り広げられる群像劇,監督 前田里美,制作会社 クロニクルムービー,累計興行収入 9億円
アイアンウィング,公開年 2018年,あらすじ 荒廃した世界を飛び回る傭兵パイロットの活躍を描く,監督 川合真,制作会社 ストームライツ,累計興行収入 6.2億円
ゴールデンアッシュ,公開年 2024年,あらすじ 黄昏の街で繰り広げられるファンタジー復讐劇,監督 佐伯英司,制作会社 オメガピクチャーズ,累計興行収入 11.8億円
星への螺旋,公開年 2021年,あらすじ 宇宙探査船で起こる謎の事故を巡るサスペンス,監督 岡崎涼,制作会社 ディメンションズフィルム,累計興行収入 4.5億円
ホエールズエコー,公開年 2020年,あらすじ 南極海を舞台に人類と自然の共生を描いた環境ドラマ,監督 宮田夏美,制作会社 ナチュラライト,累計興行収入 5億円
サイレントアバランチ,公開年 2019年,あらすじ 極寒の山岳地帯で生存をかける登山家たちの葛藤,監督 東郷達也,制作会社 ノースプロダクション,累計興行収入 7.3億円
エボニータワー,公開年 2022年,あらすじ 王国の闇を暴くために集う騎士団のファンタジー大作,監督 野村慧,制作会社 サニーサイドピクチャーズ,累計興行収入 12.5億円
ペインテッドマスク,公開年 2024年,あらすじ 不思議な仮面がもたらす超常現象に巻き込まれる人々,監督 鈴木琢磨,制作会社 コズミックレンズ,累計興行収入 3億円
サンダーブルーム,公開年 2021年,あらすじ 近未来の天候制御技術が引き起こすアクションスリラー,監督 井上直樹,制作会社 ニューエッジフィルム,累計興行収入 8億円
無人島,公開年 2023年,あらすじ 無人島に漂着した人々が協力して生き延びるサバイバル,監督 遠藤真理子,制作会社 オリオンシネマ,累計興行収入 14億円
ハードワイヤードメモリーズ,公開年 2020年,あらすじ 記憶をデジタル化した社会で起こるサスペンスドラマ,監督 桜井潤一,制作会社 テックフューチャーピクチャーズ,累計興行収入 9.7億円
ガラスの迷宮,公開年 2018年,あらすじ ガラスの迷宮で繰り広げられる心理ホラー,監督 松野日向,制作会社 シャドーサークル,累計興行収入 3.2億円
ペインテッドムーン,公開年 2019年,あらすじ 月の植民地で芸術を追求する若き画家の人生,監督 大島拓海,制作会社 ルナティックビジョン,累計興行収入 4.8億円
ストームウォッチレクイエム,公開年 2022年,あらすじ 気象災害が頻発する世界での人間ドラマ,監督 堂本沙希,制作会社 ブリッジ・トゥ・ラボ,累計興行収入 10億円
ルビーズメロディ,公開年 2024年,あらすじ 謎の宝石にまつわる音楽伝説を巡る青春群像劇,監督 本田陽一,制作会社 レッドループピクチャーズ,累計興行収入 1.5億円
失われた王国,公開年 2023年,あらすじ 伝説の王国の再建を目指す騎士と魔法使いの冒険譚,監督 和泉杏奈,制作会社 ストーリーライツ,累計興行収入 13億円
