word,info1,info2,info3,info4,info5
バサギリ,新しいポケモン。特性：むしのしらせ、効果：HPが3分の1以下になると、むしタイプの技の威力が1.5倍になる。,新しいポケモン。進化条件：「LEGENDS アルセウス」に連れていき、「くろのきせき」で「ストライク」から進化。,新しいポケモン。入手方法：ブルーベリー学園のキャニオンエリアで野生出現する。,新しいポケモン。覚える技：でんこうせっか、効果：先制技(優先度：1)。相手が同じ技を出したら素早さの高いほうが先になる。,新しいポケモン。たまご技：フェイント、効果：先制技(優先度：2)。「まもる」や「みきり」等を使っている相手にも当たる。
ガチグマ,新しいポケモン。特性：こんじょう、効果：状態異常のとき、「攻撃」が1.5倍になる。,新しいポケモン。進化条件：「LEGENDS アルセウス」に連れていき、満月の夜に「ピートブロック」でリングマから進化。,新しいポケモン。入手方法：ポケモンホームから連れてくることで入手できます。,新しいポケモン。覚える技：うそなき、効果：相手の特防を2段階下げる。,新しいポケモン。たまご技：れんぞくぎり、効果：技を当てるたびに技の威力が2倍になっていく(最大で160)。攻撃を一度でもはずすと威力は戻る。
オオニューラ,新しいポケモン。特性：プレッシャー、効果：技を受けると、相手の技のPPを1多く減らす。,新しいポケモン。進化条件：「するどいツメ」を持たせて昼にレベルアップでヒスイニューラから進化。,新しいポケモン。入手方法：ポケモンホームから連れてくることで入手できます。,新しいポケモン。覚える技：いわくだき、効果：50%の確率で相手の防御を1段階下げる。,新しいポケモン。たまご技：ファストガード、効果：そのターンの相手の先制技を受けない。(味方への攻撃も防げる)。
ハリーマン,新しいポケモン。特性：どくのトゲ、効果：直接攻撃を受けると、30%の確率で相手を「どく」状態にする。,新しいポケモン。進化条件：ヒスイハリーセンに「どくばりセンボン」を覚えさせて、「けいけんアメ」などでレベルアップ。,新しいポケモン。入手方法：ポケモンホームから連れてくることで入手できます。,新しいポケモン。覚える技：まきびし、効果：相手がポケモンを交代するたびにダメージを与える。使うごとに威力が3段階まで上がる(最大HPの1/8→1/6→1/4)。,新しいポケモン。たまご技：みずのはどう、効果：20%の確率で相手を混乱状態にする。
化身ラブトロス,新しいポケモン。特性：メロメロボディ、効果：直接攻撃を受けると、30%の確率で相手を「どく」状態にする。,新しいポケモン。フォルムチェンジ：ラブトロスを手持ちに加えた状態で「たいせつなもの」から「うつしかがみ」を使うことで、化身⇔霊獣フォルムを変更することができます。,新しいポケモン。入手方法：ポケモンホームから連れてくることで入手できます。,新しいポケモン。覚える技：いちゃもん、効果：相手が同じ技を2回連続で出せない状態にする。相手が「みがわり」を使っていても効果がある。,新しいポケモン。たまご技：なし。
ニャオハ,新しいポケモン。特性：しんりょく、効果：HPが3分の1以下になると、草タイプの技の威力が1.5倍になる。,新しいポケモン。進化条件：Lv.16でニャローテへ進化できる。,新しいポケモン。入手方法：野生で出現しない。ゲーム開始時に入手するかたまごを孵化させる。,新しいポケモン。覚える技：しっぽをふる、効果：相手の防御を1段階下げる。,新しいポケモン。たまご技：やどりぎのタネ、効果：毎ターン終了時に相手の最大HPの1/8のダメージを与え、与えたダメージ分のHPを回復する。
ニャローテ,新しいポケモン。特性：しんりょく、効果：HPが3分の1以下になると、草タイプの技の威力が1.5倍になる。,新しいポケモン。進化条件：Lv.36でマスカー二ャへ進化できる。,新しいポケモン。入手方法：野生で出現しない。ニャオハを進化させる以外の入手手段はない。,新しいポケモン。覚える技：とんぼがえり、効果：攻撃した後に、手持ちのポケモンと入れ替わる。,新しいポケモン。たまご技：まねっこ、効果：一つ前に出た技を出す。
マスカーニャ,新しいポケモン。特性：しんりょく、効果：HPが3分の1以下になると、草タイプの技の威力が1.5倍になる。,新しいポケモン。進化条件：これ以上進化しない。,新しいポケモン。入手方法：野生で出現しない。ニャローテを進化させる以外の入手手段はない。,新しいポケモン。覚える技：トリックフラワー、効果：命中・回避率に関係なく必ず命中して、急所にも当たる。,新しいポケモン。たまご技：ふいうち、効果：相手の選んだ技が攻撃技であれば先制攻撃ができ(優先度：1)、ダメージを与える。攻撃技でない場合は失敗する。
ホゲータ,新しいポケモン。特性：もうか、効果：HPが3分の1以下になると、炎タイプの技の威力が1.5倍になる。,新しいポケモン。進化条件：Lv.16でアチゲータへ進化できる。,新しいポケモン。入手方法：野生で出現しない。ゲーム開始時に入手するかタマゴを孵化させるしか入手方法はない。,新しいポケモン。覚える技：あくび、効果：次のターン終了時に眠り状態になる。それまでに交代されると、効果はない。,新しいポケモン。たまご技：のろい、効果：素早さが1段階下がり、攻撃防御を1段階上げる。ゴーストタイプがこの技を使うと、相手を呪い状態にする。
アチゲータ,新しいポケモン。特性：てんねん、効果：相手の「能力」の変化を受けない。,新しいポケモン。進化条件：Lv.36でラウドボーンへ進化できる。,新しいポケモン。入手方法：野生で出現しない。ホゲータを進化させる以外の入手手段はない。,新しいポケモン。覚える技：かみつく、効果：30%の確率で相手をひるませる。,新しいポケモン。たまご技：なまける、効果：最大HPの1/2のHPを回復する。
