word,info1,info2,info3,info4,info5
Twilight of the Sage,出版年 2020年,概要 天才魔術師が世界を救うファンタジー,著者 田中一郎,出版社 ホワイトブックス,累計発行部数 10万部
Blue River Journey,出版年 2019年,概要 少女が川沿いを旅して成長する冒険譚,著者 小林詩織,出版社 フロントライン出版,累計発行部数 6万部
Quantum Dreams,出版年 2023年,概要 量子コンピュータが引き起こすSFミステリー,著者 山岸優,出版社 未来図書,累計発行部数 2万部
Crimson Crown,出版年 2021年,概要 王位継承をめぐる中世風ファンタジー,著者 森本彰,出版社 タイガーブックス,累計発行部数 8万部
Memory of the Light,出版年 2022年,概要 人類の記憶を操作する装置が生み出すディストピア,著者 長谷川凛,出版社 レインボープレス,累計発行部数 4万部
Sea of Whispers,出版年 2018年,概要 都会から離島へ移住した青年の心の再生物語,著者 橋本真司,出版社 オーシャンブックス,累計発行部数 7万部
Sakura Code,出版年 2024年,概要 和風サイバーパンク世界でのハッカー青春劇,著者 斎藤蓮,出版社 ミライ書房,累計発行部数 1万部
Ashes and Echoes,出版年 2020年,概要 戦争で荒廃した世界を巡るロードムービー風小説,著者 高井瞬,出版社 アースイノベイト,累計発行部数 12万部
The Hidden Flute,出版年 2021年,概要 古代楽器を巡るミステリー,著者 飯田紀子,出版社 ヒルズ文庫,累計発行部数 3万部
Endless Canvas,出版年 2023年,概要 天才画家が描く「消えていく絵」の謎,著者 大谷創,出版社 アートブックス,累計発行部数 5万部
Dragon's Lullaby,出版年 2017年,概要 幼いドラゴンと少年の友情と別れを描く,著者 西野浩司,出版社 フラッグ・プレス,累計発行部数 9万部
Threads of Destiny,出版年 2019年,概要 複数の時代を繋ぐ運命の糸を追う群像劇,著者 井上涼,出版社 スカイライト出版,累計発行部数 11万部
City in Grey,出版年 2022年,概要 全てが灰色に塗り込められた未来都市の秘密,著者 広瀬涼子,出版社 サイドノート社,累計発行部数 2.5万部
Tales of the Lighthouse,出版年 2018年,概要 灯台守が語る不思議な海の伝承短編集,著者 川島遥,出版社 ノーザンライト,累計発行部数 4.2万部
Silent Opera,出版年 2021年,概要 音楽が禁止された世界で生まれる革命物語,著者 近藤貴弘,出版社 ソレイユ文庫,累計発行部数 7.5万部
Children of Winter,出版年 2023年,概要 極寒の異世界で暮らす子供たちのサバイバル,著者 青木苑子,出版社 フローズン出版,累計発行部数 3.8万部
The Clockmaker's Key,出版年 2020年,概要 時を操る鍵を巡って巻き起こるファンタジー,著者 石原真,出版社 スチームページ社,累計発行部数 9.2万部
Gemini Harvest,出版年 2019年,概要 宇宙コロニーでの双子の兄弟の運命を描くSF,著者 小坂誠,出版社 コスミック・アーツ,累計発行部数 1.7万部
Owl's Nocturne,出版年 2024年,概要 真夜中の図書館で繰り広げられるファンタスリラー,著者 佐伯杏,出版社 ナイトウイング出版,累計発行部数 2.3万部
Dawn of Coral Reef,出版年 2018年,概要 サンゴ礁の再生に挑む海洋学者のヒューマンドラマ,著者 岡崎櫂,出版社 ブルーグローブ,累計発行部数 4.5万部
